0 81
0 86
0 87
0 94
0 95
1 46
1 69
1 85
1 86
1 95
2 8
2 12
2 66
2 78
2 98
3 9
3 21
3 44
3 59
3 80
4 14
4 25
4 56
4 67
4 71
5 13
5 81
5 88
5 94
5 98
6 17
6 61
6 76
6 89
6 99
7 87
7 91
7 97
7 98
7 99
8 2
8 93
8 96
8 97
8 99
9 3
9 37
9 45
9 59
9 73
10 14
10 46
10 56
10 67
10 90
11 28
11 38
11 49
11 63
11 92
12 2
12 13
12 61
12 94
12 95
13 5
13 12
13 95
13 96
13 98
14 4
14 10
14 58
14 71
14 95
15 26
15 69
15 93
15 94
15 95
16 43
16 62
16 75
16 94
16 98
17 6
17 31
17 34
17 42
17 63
18 66
18 87
18 96
18 97
18 99
19 32
19 33
19 78
19 95
19 98
20 79
20 80
20 95
20 97
20 99
21 3
21 27
21 51
21 59
21 73
22 39
22 62
22 74
22 88
22 92
23 50
23 68
23 81
23 85
23 94
23 98
24 27
24 37
24 51
24 59
24 73
24 92
25 4
25 70
25 76
25 84
25 88
25 92
26 15
26 62
26 81
26 82
26 85
26 94
27 21
27 24
27 37
27 44
27 45
27 73
28 11
28 61
28 77
28 84
28 89
28 96
29 85
29 86
29 94
29 95
29 98
29 99
30 72
30 78
30 85
30 86
30 94
30 98
31 17
31 32
31 60
31 87
31 89
31 92
32 19
32 31
32 84
32 89
32 90
32 92
33 19
33 78
33 84
33 85
33 86
33 98
34 17
34 57
34 94
34 95
34 96
34 98
35 70
35 74
35 76
35 85
35 88
35 92
36 84
36 91
36 93
36 96
36 97
36 99
37 9
37 24
37 27
37 51
37 73
37 89
38 11
38 83
38 90
38 96
38 97
38 99
39 22
39 54
39 70
39 76
39 80
39 92
40 49
40 54
40 63
40 87
40 92
40 93
41 46
41 48
41 50
41 58
41 67
41 71
42 17
42 44
42 70
42 76
42 89
42 92
43 16
43 82
43 83
43 96
43 98
43 99
44 3
44 27
44 42
44 51
44 59
44 73
45 9
45 27
45 57
45 78
45 95
45 98
46 1
46 10
46 41
46 48
46 58
46 71
46 77
47 53
47 80
47 90
47 91
47 93
47 96
47 99
48 41
48 46
48 56
48 58
48 67
48 71
48 72
49 11
49 40
49 74
49 88
49 89
49 91
49 92
50 23
50 41
50 62
50 75
